,_id,task,src,tgt
0,696,gec,"Fix grammaticality in this sentence: In the car, we talks including the movie, she say on Tom Cruise is the hotest guy of the world but I didn't mind, so when I say to her within the girls of the movies were very beatyfull, she saw me with but faces and then I say that she is better at the girl since the movies, so I think I'm going to gone upon UNKNOWN","In the car, we talked about the movie, she said that Tom Cruise is the hottest guy in the world but I don't mind, so when I said to her that the girl in the movie is very beautiful, she looked at me with but face and then I said that she is better than the girl in the movie, so I think I'm going to go to UNKNOWN"
1,540,gec,"Fix grammatical errors: up yes I've seeing the programme too, but I don't thinking that the programme were brilliant because I preferred actions films including James Bond, the famous spy called "" 008 "", that been one of the programmes I having enjoyed, the others are "" Mission possible 40 "", above Tom Crase, it were great, I enjoyed "" Dark Saloon "" a western with Clint Westwood it been super cool, by a lots about actions and a lots dead men.","If so, I've seen the programme too, but I don't think that the programme was brilliant because I prefer action films like James Bond, the famous spy called "" 008 "", that's one of the programmes I have enjoyed, the others are "" Mission possible 40 "", with Tom Crase, it was great, I enjoyed "" Dark Saloon "", a western with Clint Westwood, it was supercool, with a lot of action and a lot of dead men."
2,1074,gec,Make the sentence grammatical: The patient had an emergent tracheostomies placed along the bedside.,The patient had an emergency tracheostomy placed at the bedside.
3,748,gec,"Fix grammatical mistakes in this sentence: The captain's crew being on the deck trying to gets ahold of the sales to trying and steered us away from the storm, but the wind being relentless, a few across the captain's men is swept overboard among through the intence lashes but the sails.","The captain's crew was on the deck, trying to get ahold of the sales to try and steer us away from the storm, but the wind was relentless. A few of the captain's men were swept overboard due to the intense lash of the sails."
4,646,gec,"Fix grammaticality: How many times do we turn before the television and we watch different commercial ad beyond different enterprises that are permanently appealing the youngster to have a new toy or a new doll and put a pressure on the parent's to they will have, most over the time, to spending money on something that will bring to the child a momentaneous happiness.","How many times do we turn on the television and watch different advertisements from different enterprises that are permanently appealing to the youngsters to get a new toy or a new doll and putting pressure on the parents because they will have, most of the time, to spend money on something that will bring the child momentary happiness."
5,564,gec,"Fix grammatical mistakes in this sentence: me up, I sitting at a computer all day, but between I stay in my job, around the evennings I gone to the gym, I've got a person how cares for my despite all moments, I do bike, I run forty-five minute, I spend two hours a days of the gyms, but I've got time.","me too. I sit at a computer all day, but since I have been in my job, in the evenings I go to the gym. I've got a person who looks after me all the time. I do exercise bike, I run for forty-five minutes, I spend two hours a day in the gym, but I've got time."
6,622,gec,Fix grammatical errors in this sentence: Therefore using one approach may have an adverse effects under ethics on to were guiding for both may deviated the research from its aims.,"Therefore, using one approach may have an adverse effect on ethics, whereas being guided by both may deviate the research from its aim."
7,787,gec,"Fix grammatical mistakes in this sentence: Over the next years, her tenure file passed the scrutiny of three committee, which read everything written by and following Abu El-Haj, and recommended her for tenure.","Over the next year, her tenure file passed the scrutiny of three committees, which read everything written by and about Abu El-Haj and recommended her for tenure."
8,812,gec,"Fix grammatical errors in this sentence: The study aims to evaluate on how a changes of diet to full liquid for 8-week span and a 6-month follow-up can improve the participant's blood sugars levels and improve their T2DM (Steven et al. , 2016).","The study aimed to evaluate how a change of diet to full liquid for a 8-week span and a 6-month follow-up can improve the participants ' blood sugar level and their T2DM (Steven et al. , 2016)."
9,529,gec,"Fix disfluencies in the sentence: Also we can recycled all papers which been already used, all bottles plus drinks up water, juice, people used The other things that colleges can do to help the enviroment been to make sure all student understand the advantage of recycling, and also try to recycled everything which were important to be recycled, also colleges to make sure they plants tree sorrounding the college which is good for invioroment.","Also we can recycle all the paper which has already been used, and all the bottles of drinks, like water and juice, people have used. The other thing that the college can do to help the environment is to make sure all the students understand the advantage of recycling, and also to try to recycle everything which is able to be recycled, also the college could make sure they plant trees around the college, which is good for the environment."
10,401,gec,"Fix grammaticality of the sentence: following the man left the café, Maria seen that his phone was still following the table, first she ran between him so fast, but next she looked that he had taken a taxi upon that, she took a taxi too! and she said "" behind him please and hurry up "", then the taxi stopped for a really big traffic, finally she went down the taxi and running so fast behind the other taxi, finally she stops the other taxi, but the man isn't thereat the ends she finds him, and she saying: "" hey you forgot your mobile phones! "" and the man answers: "" That's not mines "".","As the man left the café, Maria saw that his phone was still on the table, first she ran after him very fast, but then she saw that he had taken a taxi after that, she took a taxi too, and she said, "" Follow him please and hurry up! "" and then the taxi stopped in really heavy traffic, finally she got out of the taxi and ran very fast after the other taxi, finally she stopped the other taxi, but the man wasn't thereat the end she found him, and she said: "" Hey, you forgot your mobile phone! "" and the man answered: "" That's not mine. """
11,717,gec,"Fix grammatical mistakes in this sentence: Any new form of communication can improve the skill of a nurse as to allowed them to sees different style of how someones can be cared (College between Nurses of Ontario, 2012).","Any new form of communication can be useful in improving the skills of a nurse and allowing them to discover different styles of caring for clients (College of Nurses of Ontario, 2012)."
12,526,gec,"Fix grammatical errors in this sentence: studies in America has long been a dream for Keanu, where he sees a great chance to a good education, personal development, and his future.","Studying in America has long been a dream for Keanu; he sees it as a great chance to pursue a good education, personal development, and a great future."
13,612,gec,"Make the sentence grammatical: I remember first seeing Woods doing his 90's kids gimmicks under NXT, and was happy that new gimmicks were finally getting a chances. Soon through he started showing up on the main rosters though the funk part of the gimmicks were just about all they focused on aside for brief mentions out him being a nerds.","I remember first seeing Woods when he did his 90s-kid gimmick on NXT and was happy that new gimmicks were being showcased. However, once he started showing up on the main roster, the focus became mostly about the funk part of the gimmick, with brief mentions only of him being a nerd."
14,926,gec,"Fix grammaticality: on: To: Customer Service manager Subject: complained about late delivery One of our customers, Kyle, who is working towards our trading company asked us with late deliveries so I explained our situation at our production employes have been into a strikes It is suggested at we should give an information about the company which are producing as same as our company is.","From: To: Customer Service Manager Subject: Complaining about late delivery One of our customers, Kyle, who is working for our trading company, asked us about the late delivery so I explained our situation - that our production employees have been on strike. It is suggested that we should give him information about the company which is producing the same things as our company."
15,240,gec,Fix disfluencies in the sentence: Did I receive the fortune?,Did I receive a fortune?
16,61,gec,"Fix grammatical errors in this sentence: throughout about Ajzen [18] intentions been assumed to were one of the motivational factors that can influence behaviours, which is related to the willingness through an individuals to try something new, and also the effort placed in performed such behaviour.","According to Ajzen [18], intention is assumed to be one of the motivational factors that can influence behaviour, which is related to the willingness of an individual to try something new and also the effort used in performing such behaviour."
17,234,gec,Fix grammatical errors in this sentence: until cases that valuation dropping down to $ 1.5B Nutanix will having an attractive P/S ratios of 5.3 taking into accounts a TTM revenues of $ 283M.,"In case that valuation drops down to $ 1.5B, Nutanix will have an attractive P/S ratio of 5.3, taking into account a TTM revenue of $ 283M."
18,847,gec,"Fix grammatical errors: My parent don't understands without I'm 20 year old now, I needs to stayed with my friend, or on my own! But, you know, sometimes I miss them, against facts last summer I went out to the camping where I staying of my friends and I joined my parent until you need your spaces, and you want to spend your holiday times with your friends.","My parents don't understand that I'm 20 years old now, I need to be with my friends, or on my own. But, you know, sometimes I miss them, in fact last summer I left the campsite where I was staying with my friends and I joined my parents that you need your space, and you want to spend your holiday with your friends."
19,843,gec,"Make the sentence grammatical: I think you must go to the gym, it is next except the supermarkets, or If you want you can go to the sport centre with me to play tennis, we can going all week but I think is better gone only three day Monday, Friday and Saturday if you want it isn't too expensive and the teachers being very nice.","I think you must go to the gym, it is next to the supermarket, or if you want you can go to the sports centre with me to play tennis, we can go all week but I think it is better to go only on three days: Monday, Friday and Saturday if you want it isn't too expensive and the teacher is very nice."
20,267,gec,"Fix grammar in the sentence: It is critical that the NS has the sound basis of education but the structure including practice; facilitates tools to learn beyond a processes, and the outcome despite the care is the recognition towards diversity and beauty of all groups to live in harmony with each other.","It is critical that NSs have a sound basis of education as the framework of their practice and the right tools to facilitate their learning process, and the outcome of the care is the recognition of the diversity and beauty of all groups to live in harmony with each other."
21,811,gec,"Fix grammaticality in this sentence: My reviser taught me the importance of writing a flawless English texts, out a focus on achieving formality, proper to the professional and executive environment.","My reviser has taught me the importance of writing a flawless English text, with a focus on achieving formality that is proper in the professional and executive environment."
