,_id,task,src,tgt
0,962,gec,Fix grammaticality of the sentence: improving Sleep Pattern,Improves Sleep Patterns
1,132,gec,"Fix grammatical errors in this sentence: Including film from other nationalities, that originally are or had is translated into English - shown a films may not be encouraging enough for people to joined the clubs, so new activity around member can are added, as discussions about the films shown or quiz - emphasised in the adverts the possibilities to come to see the film for being a member of the club, but promoted the advantatges of becoming one (especially economic ones, but also the chance to participate in all the activities) - Offering to non-member a free subscription for one months During this second years, the aim of the club is to grow even more, and to improves, towards that members would getting satisfied.","Including films from other nationalities, that originally are, or have been translated into, English. - Showing a film may not be encouraging enough for people to join the club, so new activities for members should be added, like discussions about the films shown or quizzes. - Emphasising in the adverts the possibility to come to see the film without being a member of the club, but promoting the advantages of becoming one (especially financial ones, but also the chance to participate in all the activities). - Offering to non-members a free subscription for one month. During this second year, the aim of the club is to grow even more, and to improve, so that members are satisfied."
2,496,gec,"Fix grammaticality of the sentence: Taking cookers throughout account, their sales been predicted to experience a 100% increases during the first half of the year (from 500 along 1000 unit) follows by an equaly relevant decrease in the second-half of the year To conclude, the most significant features is the 100% growths of the tv sales in the next years, as both fridge and cooker is not expecting to experienced any years variation.","As for cookers, their sales are predicted to experience a 100% increase during the first half of the year (from 500 to 1000 units) followed by an equally marked decrease in the second half of the year. To conclude, the most significant feature is the 100% growth of the TV sales in the next year, as both fridges and cookers are not expected to experience any significant variation."
3,828,gec,"Make the sentence grammatical: If I were you I would go to a large school in the centre of the town. Because there you can meet more friends than despite the small schools, also from your free time you can went before the shopping center and if you is tired you can have a cokes with someones.","If I were you I would go to a large school in the centre of the town. Because there you can meet more friends than in the small school, also in your free time you can go to the shopping center and if you are tired you can have a Coke with someone."
4,287,gec,Fix grammatical errors in this sentence: That man owes something along the society throughout which man is born - and he is to dragging his debt throughout his life.,"It suggests that man owes something to the society in which man is born, and he is to drag his debt throughout his life."
5,712,gec,"Fix grammaticality of the sentence: I feel South East Asia would be worth your time, the most expensive things you'd does been getting your plane tickets, but other during that it being smooth sailings.","I feel Southeast Asia would be worth your time. The most expensive thing you'll do is get your plane tickets, but other than that, it's smooth sailing."
6,61,gec,"Fix grammatical errors in this sentence: throughout about Ajzen [18] intentions been assumed to were one of the motivational factors that can influence behaviours, which is related to the willingness through an individuals to try something new, and also the effort placed in performed such behaviour.","According to Ajzen [18], intention is assumed to be one of the motivational factors that can influence behaviour, which is related to the willingness of an individual to try something new and also the effort used in performing such behaviour."
7,432,gec,"Make the sentence fluent: Accordingly, throughout the first concerning vivo study with the SPIOs produced throughout Partner 2, we did not observed extravasation around the ischemic hemisphere 24 hour after strokes induction (Figure 10c, p21), but further extensive toxicological studies needs to be performing.","Accordingly, in the first in vivo studies with the SPIOs produced by Partner 2, we did not observe extravasation in the ischemic hemisphere 24 hours after stroke induction (Figure 10c, p. 21), but further, extensive toxicological studies need to be performed."
8,1073,gec,"Fix grammatical errors in this sentence: Horrible plays calling, terrible clock management, only scoring 6 points off 5 turnovers (both of which were field goal from the 1 yard line), the players sitting down after the last interception instead against returning it except a likely games sealing TD, and botches a non-surprise onside kicks recoveries (which has a successes rate of sub 20%) make it sound like a choke jobs to me.","Horrible play calling, terrible clock management, only scoring six points off five turnovers (both of which were field goals from the one-yard line), the player sitting down after the last interception instead of returning it for a likely game-sealing TD, and botching a non-surprise onside kick recovery (which has a success rate of sub-20%) make it sound like a choke job to me."
9,1035,gec,Fix grammatical mistakes in this sentence: So with all this tool and Technology during place I would say the believe were changing to been a facts across all this young people can go any where through the internet during all filds so if you were looking under a news you can Acces many special news websits are also in sports or education or along any other filds you are interested in.,"So with all these tools and technology in place I would say the belief is changing to become a fact as all these young people can go anywhere through the internet in all fields, so if you are looking for news you can Acces many special news websits's and also in sports or education or in any other fields you are interested in."
10,1036,gec,"Fix grammar in the sentence: lives with your grandparent is even worse when you lives in a small houses because they can take hour in the bathroom and probably you'll have to sharing more stuff like the t .v., and let not forget that since they are old people they'll probably have nothing to do and they will eventually be talking to you until you cant stand it and go inane (jokes).","Living with your grandparents is even worse when you live in a small house because they can take hours in the bathroom and probably you'll have to share more things, like the TV, and let's not forget that since they are old people they'll probably have nothing to do and they will eventually be talking to you until you can't stand it and go insane (joke)."
11,442,gec,"Fix grammatical mistakes in this sentence: You and your family will have oportunities easyer than behind the countryside along the other hand, a small city is more peacefully, relaxing, don't have to much traffic jams and people looks to be more friendly Finally you had to talk with your families and asks them when they would like to live, because they opinions is what really mattered.","You and your family will have more opportunities easyer than in the countryside. On the other hand, a small city is more peaceful and relaxing, it doesn't have too many traffic jams and the people seem to be more friendly. Finally, you have to talk with your family and ask them where they would like to live, because their opinion is what really matters."
12,865,gec,"Make the sentence grammatical: In contrast, among I stay in my flat up taking with native speaker or of any relationship this meant I ignore very important times that let me improved my knowledge, and also ignore improved my listening and speaks skill Learning any foriegn language has some difficulties, and the difficult skill been speaks and listening skill, across the native speakers done not up speake with a person that speak weakly, because it take more time, along result the English student take more time to improving his English languages.","In contrast, if I stay in my flat without talking to native speakers or without forming any relationships, this would mean I am missing a very important opportunity that would help me improve my knowledge, and also missing the chance to improve my listening and speaking skills. Learning any foreign language involves some difficulties, and the difficult skills are the speaking and listening skills, because the native speakers do not like to speak with a person who speaks with difficulty, because it takes more time, as a result, the English student will take more time to improve his English language skills."
13,633,gec,"Fix grammaticality in this sentence: In the current business field, stakeholders and the societies are not only demanding corporations ' economic improvements but also requires corporation ' social and environmental engagement.","In the current business field, the stakeholders and the society are not only demanding corporations ' economic improvement but also requiring corporations ' social and environmental engagement."
14,732,gec,Fix grammatical mistakes in this sentence: REGARDING,REGARDS
15,160,gec,Fix grammar: lol,LOL.
16,440,gec,"Fix grammaticality of the sentence: An additional strength of mines is my ability to interact with others effortlessly, this strength being important under making connection and learning after another person's point of views.",An additional strength of mine is my ability to interact with others effortlessly. This strength is important for making connections and learning from another person's point of view.
17,410,gec,"Fix grammatical errors in this sentence: But sometimes when there is so much trauma that the rubber bands expands and expands and were no longer able to keeps its original shape you would calling that a trauma "" (Williams, Resiliency lecture).","But sometimes when there is so much trauma that the rubber band expands and expands and is no longer able to keep its original shape, you would call that a trauma "" (Williams, Resiliency Lecture)."
18,823,gec,"Make the sentence fluent: Flag me down if you needed anything else, "" he said tearing off their ticket.","Flag me down if you need anything else, "" he said, tearing off their ticket."
